,job_description,bag_of_words
356,"Are you a SQL DB Architect with expertise in creating SQL Server consolidation implementation plans? If so, your knowledge can be used by to help local clients by creating plans to solve SQL Sprawl issues. This is an opportunity to have ownership of a large scale strategy and offers great compensation. To be considered for this role you must possess the following:  Requirements:Experience documenting recommendations and best practices for configuring servers and storage in new environments to support SQL ServerExperience creating a requirements matrix to identify high level business and technical requirementsDatabase upgrade and disaster recovery recommendationsAbility to describe recommendations/ best practices regarding configuring SQL Server instances and maintenance plansStrong business acumenProfessional and clear communication skillsInterested candidates, please apply today! ","['SQL', 'SQL', 'SQL', 'strategy', 'servers', 'SQL', 'matrix', 'technical', 'SQL', 'communication', 'SQL Server', 'SQL Server']"
357,"RESPONSIBILITIES:Kforce is seeking a Credit Analyst in San Antonio, TX.Job Duties: Collects customer information for the credit approval process for review, approval, or denial of credit Assists in the development and administration of effective credit strategies and initiatives Assists manage with work load balance, training, and supporting the needs of the Credit Team Works to build team vision, goals, motivation and spirit to achieve the team's objectives Utilizes branch resources, AE contacts and Internet to support company credit objectives Assists in conducting periodic account reviews to identify accounts where credit type and amounts should be adjusted due to a credit worth decreased or increased to avoid collection issues, increase revenue and customer service satisfaction Identifies accounts that are not credit worthy; informs management of risks of lost revenue or other anomalies; assists in the preparation and validation of bad debt write-offs for uncollectable account balances Assists management in placing accounts in a Collection hold status and documenting the reason and bad debt amounts for both bankrupt and delinquent accounts May interface and partner with other business units as necessary Maintains effective working relationships between Sales, Collection, and Company Revenue Platforms to ensure credit and collection activities are consistent with the company's overall customer relationsBenefits include: Competitive pay Holidays off Monday - Friday, 8 - 5 schedule Medical, Dental, and Vision packagesREQUIREMENTS: High School diploma/GED; would prefer some college 1 years+ Credit Review and analysis experience or Loan Origination experience Currently looking for individuals with a background in credit applications, approvals, denials, and holds Basic Outlook/Word Advanced Excel - Macros and FormulasKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.","['process', 'administration', 'training', 'Sales', 'schedule', 'analysis', 'Excel', 'customer service']"
358,"Administrative Assistant Full Time - Kindred Hospital Med Center ( Job Number: 272275 ) Description IT'S SIMPLE. You want to work in a hospital setting where you are valued and appreciated - where you receive respect from your superiors and co-workers as well as the patients you treat. You want to be challenged by your job without being overwhelmed by it.  You want to play an instrumental role in helping a patient recover, sometimes against strong odds, and go home. What you want is Kindred Healthcare. Our mission is to promote healing, provide hope, preserve dignity and produce value for each patient, resident, family member, customer, employee and shareholder we serve.  Join us! Be the ""right hand"" of a Department manager, taking care of appointments, schedules, correspondence and the thousand details that make YOUR department function successfully, and on time.  All of these things are a major part of helping Kindred provide the kind of health care that our patients need, and also the kind that you can be proud of. Responsibilities: Coordinate schedules, make appointments, arrange travel; coordinate and schedule meetings, prepare agendas, reserve and prepare facilities; record and transcribe meeting minutes Read/route incoming mail; compose and type routine correspondence Create and maintain electronic spreadsheets and databases; conduct research and produce financial, statistical, narrative and other reports Assist with maintaining budgets Assistant Aide Qualifications Must be able to organize, prioritize, follow-up and communicate effectively with all levels of the organization. Should be a critical thinker, able to maintain confidentiality, and be accurate, concise and detail-oriented. Skill in the development and use of spreadsheets and word processing is required. A High School diploma (or equivalent) and two years of experience as an Administrative Assistant or Secretary are also necessary. If you are a current Kindred/RehabCare employee /font> . Job : Administrative/Clerical/Secretarial Primary Location : TX-Houston-Kindred Hospital-Houston Med Ctr Organization : 4685 - Kindred Hospital-Houston Med Ctr Shift : Day","['Hospital', 'hospital', 'Healthcare', 'schedules', 'correspondence', 'health', 'schedules', 'travel', 'schedule', 'correspondence', 'spreadsheets', 'research', 'reports', 'spreadsheets', 'word']"
359,"Almo Distributing is headquartered in Philadelphia and is a national distributor of appliances, electronics, furniture and home goods. Almo has been in business in the Philadelphia area for 70 years and has 8 locations across the country. We offer an exciting work opportunity in a growing and forward-thinking company. Equal Opportunity Employer EOE/AA/M/F/Disability/Veteran For consideration, please complete our on-line employment application and attach your resume no later than June 6, 2016We are currently seeking a qualified and highly motivated sales professional with excellent communication skills to service our LG Appliance in our Colorado/Nebraska and Iowa territory. 70% plus travel, mostly via the automobile, with frequent out-of-town overnight stays.Ideal candidate must have: -Successful track record of sales accomplishments in the related field -Minimum of 5 years outside sales experience in the appliance and/or consumer electronics product field -Ability to demonstrate strong verbal and written communication skills -Bachelor's degree or equivalent -Proven proficiency in Microsoft Office Word, Excel and PowerPoint. -Valid driver's record; travel is required.PI93875186Apply Here","['electronics', 'sales', 'communication', 'travel', 'sales', 'sales', 'electronics', 'communication', 'Word', 'Excel', 'PowerPoint', 'travel', 'sales experience', 'Microsoft Office']"
360,"MOUNTAIN, LTD. is currently seeking an OSP Field Engineer for a leading communications company in the Fort Collins, CO area.Position will include performing various OSP field engineering and design functions. All fielding will be submitted to client in electronic format.The successful candidate will have strong fielding skills and all necessary tools, and be capable of acquiring necessary permits and R/W for OSP facilities. Experience/ability designing and issuing jobs in OSP-FM or NDS a PLUS but NOT a requirement. Work will include fielding for FTTN, FTTT, Pole work, AQCB and any other work as assigned. Unit Pay Structure. Candidates must be local to the Fort Collins area.","['engineering', 'design']"
361,"Security Officer/GuardLancaster, OHACCEPTING  APPLICATIONS Selected individuals will be interviewed in person at our Hiring Office or at the nearest available Work Site near you.Responsibilities of Security Officer / GuardPatrol facility or man post as instructed and serve as a general security presence and visible deterrent to crime and client rule infractions. Detect suspicious activities and watch for criminal acts or client rule infractions at or near assigned post which may be a threat to the property, client or employees at the site. Report all incidents, accidents or medical emergencies. Respond to emergencies, such as medical and bomb threats; and to alarms, such as fire and intrusion by following emergency response proceedings. Must be at least 18 years of age or older as required by applicable law or contractual requirements. Must have a high school diploma or GED At least one verifiable employer. Ability to communicate effectively both orally and in writing for the purpose of public interaction and report writing. Authorized to work in the United States. Ability to perform essential functions of the position with or without reasonable accommodation. Willing to participate in St. Moritz pre-employment process which may include drug testing and full background investigation including MVR check. (motor vehicle driving record) Ability to maintain satisfactory attendance and punctuality standard. Neat and professional appearance. Friendly and professional demeanor. Ability to provide quality customer service. Ability to handle typical and crisis situations efficiently and effectively at client site. We offer an attractive compensation package including competitive hourly wages, benefits including health, dental, vision, voluntary benefits, 401(k), training and opportunities for advancement.St. Moritz Security Services, Inc. is an Equal Opportunity Employer M/F/D/V","['Security', 'Security', 'security', 'writing', 'writing', 'process', 'testing', 'investigation', 'health', 'training', 'Security', 'driving record', 'customer service']"
362,"Title Assistant Store Manager - Retail Sales / Customer Service Auto req ID 5842BR City Houston State Texas Job Category Sales Employment Status Full-Time Job Description Love retail sales, but hate working holidays? Passionate about Customer Service, but hate working odd hours? At Extra Space Storage we offer the best of both worlds! Great retail sales environment without the retail hours! At Extra Space Storage we are the best at getting better and we need engaged employees to join our team as we continue to experience amazing growth. OverviewIs your enthusiasm and passion for helping people contagious?  Why not bring them to a new workplace where you can really make your mark? If you enjoy working with other highly engaged people, a culture that embraces innovation, delivering world class customer service, and the opportunity to grow your career – then Extra Space Storage is the place for you!At Extra Space Storage, the Assistant Manager is critical in creating a welcoming environment, creating the cleanest locations in the industry, and identifying customer needs and exceeding their expectations. Extra Space Storage seeks employees that have entrepreneurial, pro-active, positive attitudes, adaptability to change, and integrity. If you possess these qualities and want to join a dynamic, growing organization, then we are excited to hear from you!Benefits A dynamic growing company Competitive pay and benefits A rewarding work environment Opportunity for advancement Great company culture External Requirements Qualifications Successful candidates come from a variety of environments including retail sales, restaurant, sales associate, and other customer-centered selling roles Energetic, outgoing, customer oriented personality A High School diploma /GED equivalent.  College education a plus Ability to perform light maintenance including: changing light bulbs, and removing debris from storage units Minimum one year Customer Service and/or Sales experience Valid driver’s license with access to reliable transportation Willingness to travel to multiple retail locations External Responsibilities Responsibilities As an Assistant Manager you’ll work alongside your team to maximize sales objectives with each prospective customer via the phone, web or in person at your location. Our team members consistently practice exceptional customer service by welcoming future and current customers in a friendly, enthusiastic and professional manner. Assistant Managers work with customers to identify their needs and provide solutions that will add value to their storage experience. It is retail, so you will get the chance to sell/upsell high quality retail merchandise such as boxes, locks, tape and other moving supplies. Our team members enjoy working outdoors. When not taking care of customers in the office, our Assistant Managers spend approximately 50% of their time walking and tending to the property to ensure the facility is kept to the highest of cleanliness standards. This includes cleaning units, sweeping, mopping, changing light bulbs and other general maintenance duties. Successful Assistant Managers need to be able to perform at a high level without constant supervision, but also thrives in a team environment. Salary Range $10.91-$14.73","['Retail', 'Sales', 'Sales', 'retail', 'sales', 'retail', 'sales', 'retail', 'retail', 'sales', 'sales', 'Sales', 'access', 'transportation', 'travel', 'retail', 'sales', 'retail', 'retail', 'Customer Service', 'Customer Service', 'customer service', 'Customer Service', 'Sales experience', 'customer service']"
363,"Overview External: Chevron is one of the world's leading energy companies, with approximately 60,000 employees working in countries around the world. We explore, produce and transport crude oil and natural gas; refine, market and distribute fuels and other energy products; manufacture and sell petrochemical products; generate power; and develop future energy resources, including biofuels and geothermal energy.Chevron is accepting online applications for the position of Land Assistant located in Midland, TX and Houston, TX through May 25, 2016 at 11:59 p.m. (Eastern Standard Time). Position Details: Responsibilities for this position may include but are not limited to: Provide land-related administrative support to the Area Land Managers, Team Leads, Land Representatives and Land Analysts. Provide land support to Land personnel through timely and accurate population and maintenance of land data into Quorum Land System (QLS). Develop customized reports from QLS, Quorum Geographical Information System(QGIS), SAP, and other databases in order to retrieve various types of information for Land, internal clients and management. Review oil and gas lease and various other agreement provisions for population into QLS in accordance with established rules and processes. Research and monitor monthly land-related obligation reports and provide input to Land Representatives to assist in managing associated requirements. Provide information on the status of rental and shut-in payments, and well cessations. Prepare, and secure appropriate approvals for various governmental forms associated with federal and state leasing requirements. Prepare presentations, and custom spreadsheets and reports. Prepare partner ballots for company-operated Authorization For Expenditures (AFE) work including, but not limited to, mail outs to partners, tracking, releasing, documentation and electronic filing of AFE packages into associated electronic well files. Receive Non-operated AFEs and enter into NOJV AFE database. Ensure all work performed adheres to Chevrons Operational Excellence standards and regulatory requirements. Perform general administrative functions including word processing, meeting setups, ordering office supplies, catering, notarizations, recordations, check requests, etc. Provide support to Land personnel regarding proper account coding for invoices and check requests and complete check requests to secure proper payment, as needed. Assist Land personnel in creating or locating physical files, reviewing contents and disseminating requested information to Land personal or internal clients, as necessary. Receive and accept guidance on assignments from Manager, Team Lead, Land Representatives, and Land Analysts. Provide support to Land Analysts and work in conjunction with Analysts (or other Assistants) on special projects, as assigned. Ability to complete work assignments efficiently and effectively and on schedule. Other duties as assigned.Required Qualifications: High school diploma or equivalent. Minimum of 3 years related/administrative experience. Self-motivated, learns quickly, anticipates needs, works independently and has demonstrated the ability to multitask. Possess strong interpersonal skills, the ability to work in cooperation with peers, and have to a keen eye for attention to detail.Preferred Qualifications: Bachelor's degree. Five plus years related experience. Experience with contract preparation and/or as a legal assistant/paralegal. Possess understanding of Exploration, Production and Finance processes as related to the oil industry. Proficiency in MS Office (Word, Excel, Project, Outlook, Access, Adobe Pro), SAP, QLS, and an aptitude for learning new software packages. Capable of simultaneously performing multiple tasks with limited supervision. Proven ability to maintain confidentiality. Ability to work effectively and cooperatively with a diverse team of co-workers, contractors, governmental entities, and internal and external customers. Seeks to understand and meet customer needs. Ability to manage time effectively and work with minimal supervision.Relocation Options:Relocation will not be considered within Chevron parameters.International Considerations:Expatriate assignments will not be considered.Chevron regrets that it is unable to sponsor employment Visas or consider individuals on time-limited Visa status for this position.","['transport', 'System', 'reports', 'System', 'SAP', 'Research', 'reports', 'payments', 'presentations', 'spreadsheets', 'reports', 'documentation', 'filing', 'database', 'regulatory', 'word', 'ordering', 'requests', 'coding', 'invoices', 'requests', 'requests', 'schedule', 'legal', 'Finance', 'Word', 'Excel', 'Access', 'Adobe', 'SAP', 'administrative support', 'Information System', 'Operational Excellence', 'regulatory requirements']"
364," Accounts Receivable (Commercial Real Estate) Job in Denver, Colorado. Accounting Principals is currently seeking a candidate for an Accounts Receivable job in Denver, CO. This candidate must have 2+ years of Accounts Receivable experience and experience working with a commercial real estate company.  This job has great opportunities for growth, is a direct hire opportunity, and is looking to hire immediately! Accounts Receivable Job Responsibilities:• Daily cash application and cash reconciliation• Billing• Reconciliations • Preparing invoices weekly Qualifications:• Commercial real estate experience• Motivated, diligent and reliable individuals • Able to work in fast-paced environment• Attention to detail• Experience in the construction industry preferred• Bachelor’s Degree preferred, but not required If you are interested in applying to this AR job in Denver, CO, please email Danielle Norris at Danielle.Norris@AccountingPrincipals.com and include “AR – Real Estate” in the email subject. Equal Opportunity Employer Minorities/Women/Veterans/Disabled   ","['Accounting', 'invoices', 'construction', 'email', 'email', 'Accounts Receivable', 'Real Estate', 'Accounts Receivable', 'Accounts Receivable', 'real estate', 'Accounts Receivable', 'real estate', 'Real Estate']"
365,"Seeking individual with 5+ years experience designing control systems programs and developing software code for industrial machinery incorporating electrical, pneumatic, and fluidic components. *** Design, program, start up, set up, troubleshoot, commission, and train customers on machine controls systems software. *** Source, select, and procure controls software components. *** Program, test, debug, and modify control code. Along with an industry leading compensation package, the company also offers fully covered health and wellness plans for employees and dependents. Excellent medical, dental, vision, prescription drug, short and long-term disability, and group term life insurance. Additional benefits include certification fees paid by company for industry designations and tuition reimbursement for continued education. For details contact Alex Riddle at: (609) 584-9000 ext 210 Or submit resume online at: http://dmc9.com/war/app.asp Or email to: 1000023203_10007298@jobbank303.com Please reference #367561 when responding.Education Requirements: Bachelor DegreeMinimum Experience Requirements: 5-10 yearsJob City Location: AuroraJob State Location: ILJob Country Location: USASalary Range: $75,000 to $100,000WE ARE AN EQUAL OPPORTUNITY EMPLOYER and our employment decisions are made without regard to race, color, religion, age, sex, national origin, handicap, disability or marital status. We reasonably accommodate individuals with handicaps, disabilities and bona fide religious beliefs. Jobs Career Position Hiring.  CONSIDERED EXPERIENCE INCLUDES:   Top 10 Job Site Top 10 Careers Site Controls Engineer BSEE Electrical Engineer Project Engineer Machinery Automation       DISCLAIMER: We will make every effort to consider applications for all available positions and shall use one or more of the contact methods and addresses indicated in resume or online application. Indicated location may be proximate or may be desirable point of embarkation for paid or unpaid relocation to another venue. Job descriptions may fit single or multiple presently available or anticipated positions and are NOT an offer of employment or contract implied or otherwise. Described compensation is not definite nor precise and may be estimated and approximate and is negotiable depending on market conditions and candidate availability and other factors and is solely at the discretion of employers. Linguistics used herein may use First Person Singular and First Person Plural grammatical person construction for and with the meaning of Third Person Singular and Third Person Plural references. We reserves the right to amend and change responsibilities to meet business and organizational needs as necessary. Response to a specific posting or advertisement may result in consideration for other opportunities and not necessarily the incentive or basis of the response. Nothing herein is or may be considered a promise, guarantee, offer, pledge, agreement, contract, or oath. If you submit an application or resume which contains your email address, we will use that email address to communicate with you about this and other positions. We use an email quality control service to maintain security and a remove and dead address filter. To cancel receiving email communications, simply send an email from your address with the word ""remove"" in the subject line to pleaseremove@candseek4.com Or, visit the website at www.jobbankremove.com. If you have further concern regarding email received from us, call (609) 584-5499.","['electrical', 'Design', 'controls', 'controls', 'health', 'certification', 'email', 'Controls', 'Electrical', 'Automation', 'construction', 'email', 'email', 'email', 'security', 'email', 'email', 'word', 'website', 'email', 'quality control']"
366,"will include new system installations with data migration and application configuration, and minor network configurations (L3/L4 installation tech work). For the first 21 weeks, contractors will perform laptop installations. If performance is up to par, they will stay on contract for an additional 21 weeks performing desktop installations. ACTIVE security clearance Security+ certification Desktop/Laptop Installation experience A+ Certification Networking experience","['system', 'migration', 'installation', 'security', 'certification', 'Installation', 'Certification', 'Networking', 'security clearance']"
367,"RESPONSIBILITIES:Kforce has a client in Piscataway, NJ that is seeking an experienced Product Engineering Manager to manage an engineering team with the goal of developing new products while ensuring the continued success of existing product lines.Summary:The client is growing as the result of new products and a strong position within the industry. To meet and continue this growth, their engineering department is expanding and offering both challenging and rewarding positions. This position will oversee a number of product lines as well as be responsible for the development of new products to increase sales. The candidate will support sales on sales calls, providing capabilities presentations and finding solutions and new products during field visits. Presentations and strong interaction with various governing and industry committees is also essential.REQUIREMENTS: This position requires a degree in Mechanical Engineering or Engineering Management and 10 years of professional experience Experience managing engineers is a must Extensive experience in Product and Design Engineering is required Up to 25% travel is required at certain times throughout the year Experience in the rail industry or with hose assemblies will be extremely beneficialKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.","['Engineering', 'engineering', 'engineering', 'sales', 'sales', 'sales', 'presentations', 'Presentations', 'Engineering', 'Engineering', 'Design', 'Engineering', 'travel', 'Mechanical Engineering']"
368,"Account Managers- Customer Service Representatives will be the point of contact for the customer throughout their moving services. You will notify customers of their pickup/delivery dates and any additional information pertaining to their move. You will also handle customer concerns and complaints in a professional manner. The customer will contact you directly with any questions or concerns they may have.  Must have excellent writing and communication skills.  RequirementsPrior experience in dealing with existing customers. Building a client relationship in customer retention and handling ongoing issues. Experience handling escalated calls Must have at least 3 plus years in a call center environment  Must be able to process 100-150 calls per day Must be computer literate Ability to multi-task as well as handle multiple customer's issues at a time Ability to diffuse escalated customer situations through high level problem solvingGreat time management and organizational skills Bilingual preferred  Our Benefits include: Weekly paychecks Direct deposit  Promotion from within Medical, dental and vision insurance Paid Holidays  Paid Personal Days, Sick Days and Vacation time Corporate discounted plans  Call center environment Monday - Friday 10:15am to 7:15pm Saturday- Every Other 12pm-5pm Pay: $12hr + Bonus","['writing', 'communication', 'retention', 'process', 'Customer Service', 'call center', 'time management', 'Call center']"
369,"Security Officer 3209BR Maryland 301-459-2355 Job Description WHELAN SECURITY IS NOW HIRING We are searching for bright and talented professionals to join our world-class security team! Our security positions are ideal for: Former, transitioning and military reserve personnel Former and future law enforcement officers Hospitality and customer service professionals College students Retirees Qualifications Successful candidates must meet the following requirements: Legally authorized to work in the United States At least 21 years of age or older as required by applicable law or contractual requirements Demonstrate a stable work history Pass an extensive background screening which includes, but is not limited to, criminal background checks (local, state and federal), drug test, aptitude tests, skills assessment, interviews, and personality profile (behavioral assessment) Education Candidates must meet the following educational requirements: Possess at least a high school education or equivalent (GED) Apply Now! If you have an interest in joining a leader in the contract security industry and would like to work at one or more of our outstanding client locations in the King of Prussia area – APPLY NOW! Click “Apply” to begin the application process immediately .  For more information, you can also call us at 301-459-2355 Not convinced?  Listen to what our team members have to say! At Whelan, we value people and we value relationships.Extraordinary people work at Whelan – are you one? King of Prussia, PA 19406","['Security', 'SECURITY', 'security', 'security', 'Hospitality', 'security', 'Click', 'process', 'law enforcement', 'customer service']"
370,"The Training Department plays a crucial role in connecting our customers to our software. The main purpose of this position is to help our customers make a smooth conversion to the Reynolds and Reynolds system and provide training and customer support throughout the process. You will be responsible for installing and upgrading Reynolds and Reynolds software solutions in all parts of the dealership. When working with the customers, you will not only be a trainer but also a project manager. You will be responsible for coordinating all parts required for the install and making sure that all team members are on the same page in order to successfully convert the software.You will typically be given at least 1 month advance notice about upcoming trips. You will travel both individually and with a team installing and converting our software for customers. This requires excellent presentation and communication skills as you will meet with dealership management to understand the needs for each dealership. Based on these requirements, you will customize the system and train key dealership personnel on how to use the solution. While in the office you will support current customers, prepare for future trips, and conduct follow-ups with recently installed customers.REQUIREMENTS: Bachelor’s degree preferred Outgoing, friendly personality Strong written and verbal communication skills Ability to travel 80% of the timeTRAINING:Training lasts approximately 4 months and includes department observations, classroom instruction, and on-the-job training with a mentor during travel trips. Classroom instruction includes product training as well as automotive dealership operations. You will focus on one area of the software during your product training and assist experienced representatives with customer set-up and implementation. In addition, you will have the opportunity to see Reynolds’ solutions “in action” by visiting car dealerships that already utilize our solutions on a daily basis.BENEFITS:We strive to offer an environment that provides our associates with the right balance between work and family. We offer a comprehensive benefits package including: Medical, dental, vision, and life insurance 401k with 100% matching up to 6% of compensation Referral bonuses with the opportunity to earn up to $7,000 per hirePaid holidays, vacation and sick days Professional development and training through Reynolds University Discounted membership to local area fitness centersOn-site medical clinic staffed by a Nurse Practitioner Company-sponsored events and sports leagues including: company picnic, softball, volleyball, bowling, and more! Gourmet cafeteria, open for breakfast and lunch, that features a salad bar and a variety of made-to-order cuisine optionsCredit Union membershipOpportunities to participate in charitable endeavors, such as our annual Bike Build for local military families, participation in the Reynolds Associate Foundation, company sponsorship in local charity 5k Run/Walks, and other volunteer opportunities Reynolds and Reynolds promotes a healthy lifestyle by providing a non-smoking environment.Reynolds and Reynolds encourages applicants of all ages and experience to apply, as we do not discriminate on the basis of age.","['Training', 'conversion', 'system', 'training', 'process', 'travel', 'presentation', 'communication', 'system', 'communication', 'travel', 'Training', 'training', 'travel', 'training', 'operations', 'training', 'training', 'fitness', 'sports', 'cuisine']"
371,"Experis Finance is recruiting for a Tax Consultant for consulting engagement in Princeton, NJ. The Tax Consultant is primarily responsible for managing the income tax accounting activities including tax provision, tax compliance and tax account analysis Key Job Responsibilities Coordinate, review and manage sales & use tax, property tax, medical device excise tax, unclaimed property, and annual report compliance, Oversee third party service providers of tax services Serve as SME on indirect tax Coordinate and assist with tax audits and inquiries from tax authorities, Maintain tax calendar and tax payment schedules, Serve as the System Administrator for Sabrix, an Indirect Tax Engine, Research and respond to internal and external customers on tax-related matters, Interact with Financial Accounting and Business Units, Lead or assist with ad hoc projects or assignments. Key Job Requirements Bachelor's Degree in Accounting with 3-5 year experience in an corporate environment or public accounting, Proficiency in Sabrix, ( One Source) Oracle, as well as tax research engines, Knowledge of multi-state tax concepts, Ability to identify opportunities to resolve tax related issues, recommendations for tax mitigation, and for process improvement within the tax function, Strong problem-solving, analytical, negotiating, and decision-making skills and ability to root cause problems/inefficiencies within the tax function, Strong organizational skills and the ability to manage multiple service providersExperis is an Equal Opportunity Employer (EOE/AA)","['Finance', 'recruiting', 'Tax', 'consulting', 'engagement', 'Tax', 'tax', 'accounting', 'tax', 'tax', 'compliance', 'tax', 'analysis', 'sales', 'tax', 'tax', 'tax', 'compliance', 'tax', 'tax', 'tax', 'tax', 'tax', 'tax', 'schedules', 'System', 'Tax', 'Research', 'Accounting', 'Accounting', 'accounting', 'Oracle', 'tax', 'research', 'tax', 'tax', 'tax', 'process', 'improvement', 'tax', 'analytical', 'tax', 'medical device', 'process improvement', 'root cause']"
372,"•             Bachelor’s degree in Computer Science, Information Systems, Business, or other related field. Or equivalent work experience.•             Typically requires 3+ years of relevant technical and business work experience.•             Knowledge of IIBA principles and practices as written in the BABOK•             Understanding of data marts, ETL, and data extract/file creation processes•             SQL knowledge, data analysis and manipulation•             Expertise in data migrations, integrations and data quality analytics•             Any Business Analyst experience with data migrations, integrations and data quality analytics is a plus","['technical', 'ETL', 'SQL', 'analysis', 'analytics', 'Computer Science', 'data analysis', 'data quality', 'data quality']"
373,"UW-Stout is seeking to fill a faculty position in International Business and Entrepreneurship in the Business Department. Tenure-track, nine month academic year appointment starting January 6, 2017. QUALIFICATIONS: Minimum / Required  Master's in International Business, Entrepreneurship or closely related field. PhD in Business related discipline required for tenure. Two (2) years of relevant experience teaching/training experience preferred. Three (3) years work experience.RESPONSIBILITIES: Teach undergraduate/graduate courses in international business and entrepreneurship. A normal teaching load is 12 credits per semester. While the focus is on teaching, there are clear expectations of assessment of student learning, scholarly research and service activities. This position may require alternative delivery methods and/or non-traditional teaching times. Academic advisement of students in the business-related programs is also significant in this position. DEPARTMENT INFORMATION: The Department of Business is one of the departments within the College of Science, Technology, Engineering, Mathematics and Management and delivers courses that serve 20 undergraduate major programs, including bachelor's degrees in Business Administration; Management; Retail Merchandising Management; Supply Chain Management, and three graduate degree programs. The Department of Business currently has 20 full-time faculty members and typically offers 50 different courses with over 2,500 students per semester enrolled in department course offerings. CAMPUS INFORMATION: A member of the University of Wisconsin System, UW-Stout serves over 9,500 students in 25 graduate and 45 undergraduate programs and one doctoral program. As ""Wisconsin's Polytechnic University,"" students, faculty and staff use applied learning, scientific theory and research to solve real-world problems, grow the state's economy and serve society. A leader in adopting new technology, UW-Stout is a digital campus and all faculty and staff are required to use available technology in their positions including course delivery. Increasingly courses are offered via alternative delivery methods and time frames. Faculty members are responsible for teaching, advising, research and scholarly activity, assessment of student learning and service. The university is located in Menomonie, situated in western Wisconsin, one hour east of Minneapolis-St. Paul on Interstate 94; located in the scenic Chippewa Valley Region with a population base of more than 200,000. Menomonie is a city of 16,000 surrounded by lakes, streams and woodlands. For more information about the UW-Stout community and region visit: https://www.uwstout.edu/about/community.cfm  ADDITIONAL INFORMATION: Competitive salary commensurate with qualifications and experience. The UW System provides an excellent benefits package including participation in the Wisconsin State retirement plan. Benefit Details:  http://www.uwsa.edu/ohrwd/benefits/summaries/fasl.pdf   Total Compensation Estimator: https://www.wisconsin.edu/ohrwd/benefits/totalcomp/  As an equal employment opportunity and affirmative action employer, UW-Stout is committed to inclusive excellence and is actively seeking applications from individuals from diverse groups; veterans and individuals with disabilities are encouraged to apply. In compliance with the Wisconsin Fair Employment Act, employment will be contingent upon a criminal background check. The University of Wisconsin System will not reveal the identities of applicants who request confidentiality in their online application, except that the identity of the successful candidate will be released. See Wis. Stat. sec. 19.36(7). For campus safety information and crime statistics visit: http://www.uwstout.edu/police/upload/2015-Safety-Report.pdf  TO APPLY GO TO:  http://jobs.uwstout.edu/ Before starting the online application process we recommend you preview the frequently asked questions (FAQs) available at: https://helpdesk.wisc.edu/images/group61/21900/TAMFAQ_CandidateGateway.pdf Applicants will need to complete all required fields and attach all required documents prior to submitting the online application. Note: Once you have attached your materials and submitted your application you will not be able to go into the system and change them.Required application materials:  - Cover letter specifically addressing how you meet the minimum and preferred qualifications - Curriculum Vitae - Names and contact information for a minimum of three (3) professional references  - Unofficial copies of transcripts; official transcripts required at time of hire Screening of applications will begin 8/24/2016. Applications may be reviewed until position is filled. To ensure consideration submit a complete application online by 11:59 p.m. on 8/23/2016.  It is the policy of UW-Stout to provide reasonable accommodations to qualified applicants with disabilities. If you need assistance, or accommodation in applying because of a disability, please contact us using the information below. Employment opportunities will not be denied because of the need to make reasonable accommodations for a qualified individual's disability. For questions regarding this position or recruitment, please contact Search Chair: Steve Salm Phone: (715)-232-1607 Email: salms@uwstout.edu If you need assistance with the online application process or if you submitted your application prior to uploading all of the required application materials, please contact: TA Coordinator: Dawn Dock Phone: (715)-232-1155 Email: dockd@uwstout.edu","['International', 'International', 'international', 'teaching', 'teaching', 'research', 'teaching', 'Engineering', 'Mathematics', 'Administration', 'Retail', 'Merchandising', 'System', 'research', 'teaching', 'research', 'System', 'plan', 'compliance', 'System', 'safety', 'statistics', 'process', 'system', 'recruitment', 'Email', 'process', 'Email', 'Supply Chain', 'Supply Chain Management']"
374,"DescriptionLicensed Practical Nurse - LPNSaber Healthcare, aleading long term care and assisted living provider is seeking a LicensedPractical Nurse. It is Saber's mission to provide the highest quality ofcare possible to all those we are privileged to serve. This entails acontinuing commitment to always maintain the highest standards. It is throughour tradition of caring and innovation for the future that our goal of thebeing the best is realized.As a member of the Nursing team, you will be responsible forthe following job functions:Direct the day-to-day functions ofthe nursing assistantsEnsure that all nursing personnelassigned to you comply with the written policies and proceduresCooperate with other residentservices when coordinating nursing services to ensure that the resident’s totalregimen of care is maintainedAdmit, transfer, and dischargeresidents as requiredChart nurses’ notes in aninformative and descriptive manner that reflects the care provided to theresident, as well as the resident’s response to the carePrepare and administer medicationsas ordered by the physicianLicensed Practical Nurse - LPNAll candidates must have the following qualifications to beconsidered:Must possess, as a minimum, aNursing Degree from an accredited college or university, or be a graduate of anapproved RN/ LPN/LVN program.On-the-job training providedWe value our employees.That’s why we offer a competitive salary and quality benefits to you and yourfamily.  If you feel you are the right candidate, please submit yourresume for review.","['Healthcare', 'policies', 'training']"
